Country Code,2000,2005,2010
ABW,90853,100031,101669
AFG,20093756,25070798,28803167
AGO,16440924,19552542,23369131
ALB,3089027,3011487,2913021
AND,65390,78867,84449
ARB,283832016,316264728,356508908
ARE,3154925,4579562,8270684
ARG,37057452,39145488,41223889
ARM,3069588,2981259,2877311
ASM,57521,59118,55637
ATG,83584,89253,94661
AUS,19153000,20394800,22031750
AUT,8011566,8227829,8363404
AZE,8048600,8391850,9054332
BDI,6400706,7423289,8766930
BEL,10251250,10478617,10895586
BEN,6865951,7982225,9199259
BFA,11607942,13421930,15605217
BGD,131581243,143431101,152149102
BGR,8170172,7658972,7395599
BHR,664614,889168,1240862
BHS,297890,329249,360832
BIH,3766706,3781530,3722084
BLR,9979610,9663915,9490583
BLZ,247315,283277,321608
BMU,61833,64154,65124
BOL,8339512,9125409,9918242
BRA,175287587,186917361,196796269
BRB,269847,274009,279569
BRN,333241,365158,388662
BTN,573416,656639,727641
BWA,1728340,1855852,2014866
CAF,3754986,4127910,4448525
CAN,30769700,32312000,34005274
CEB,108405522,106173766,104543801
CHE,7184250,7437115,7824909
CHI,148725,154294,159581
CHL,15262754,16147064,16993354
CHN,1262645000,1303720000,1337705000
CIV,16686561,18336303,20401331
CMR,15274234,17420795,19970495
COD,47076387,54751476,64523263
COG,3225727,3718243,4386693
COL,40403958,43285634,45918097
COM,542357,611627,689692
CPV,435079,474567,502384
CRI,3925443,4247841,4545280
CSS,6530691,6761932,6984096
CUB,11150736,11284253,11333051
CUW,133860,137658,148703
CYM,41687,48622,55507
CYP,943286,1027658,1112607
CZE,10255063,10211216,10474410
DEU,82211508,82469422,81776930
DJI,717584,783254,851146
DMA,69676,70627,71440
DNK,5339616,5419432,5547683
DOM,8562622,9237566,9897985
DZA,31183660,33288437,36117637
EAP,1813301554,1893574455,1964691596
EAR,2473774746,2690316623,2908808244
EAS,2044496088,2129445086,2205614879
ECA,397083969,397469492,403470694
ECS,862304084,872661621,889016221
ECU,12628596,13735233,14934690
EGY,69905988,76778149,84107606
EMU,321310785,329380418,336151479
ERI,3392801,3969007,4390840
ESP,40567864,43653155,46576897
EST,1396985,1354775,1331475
ETH,66537331,76727083,87702670
EUU,488178830,496115011,504421131
FCS,341295147,387862311,438737943
FIN,5176209,5246096,5363352
FJI,811223,821817,859950
FRA,60912498,63179356,65027512
FRO,47258,48285,48550
FSM,107432,106196,103616
GAB,1231122,1403126,1640210
GBR,58892514,60401206,62766365
GEO,4418300,4190000,3926000
GHA,18938762,21542009,24512104
GIB,31180,32085,33189
GIN,8808546,9679745,10794170
GMB,1231844,1444204,1692149
GNB,1243229,1380838,1555880
GNQ,614323,757317,951104
GRC,10805808,10987314,11121341
GRD,101619,102949,104677
GRL,56200,56935,56905
GTM,11650743,13096028,14630417
GUM,155329,158402,159444
GUY,753301,750946,746556
HIC,1070496404,1107240168,1149511694
HKG,6665000,6813200,7024200
HND,6524283,7373430,8194778
HPC,474935556,547744433,630127436
HRV,4426000,4442000,4417781
HTI,8549200,9263404,9999617
HUN,10210971,10087065,10000023
IBD,3982443142,4207162999,4427798045
IBT,5068859280,5430388379,5801348625
IDA,1086416138,1223225380,1373550580
IDB,361050467,403526930,452947421
IDN,211540429,226712730,242524123
IDX,725365671,819698450,920603159
IMN,72554,76118,80072
IND,1053050912,1144118674,1230980691
INX,,,
IRL,3805174,4159914,4560155
IRN,66131854,70421811,74567511
IRQ,23565413,27008426,30762701
ISL,281205,296734,318041
ISR,6289000,6930100,7623600
ITA,56942108,57969484,59277417
JAM,2656864,2744673,2817210
JOR,5103130,5714111,7182390
JPN,126843000,127773000,128070000
KAZ,14883626,15147029,16321581
KEN,31450483,36048288,41350152
KGZ,4898400,5162600,5447900
