Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Angola,AGO,75.05660874,82.43408541,85.75827128,95.4218969,87.03618776,108.6303766,143.9118833,132.6812806,171.8795813,188.9616674,206.3405781,207.0312589,219.3563555,280.402518,312.4760173
Albania,ALB,1449.647413,1351.230796,1578.165919,1469.264539,1797.525487,1722.07285,1218.360146,1213.124369,1617.744156,1835.684072,1943.343354,2205.70392,2118.327776,2533.252829,2309.366503
Arab World,ARB,1509.812123,1573.005077,1641.178384,1711.669345,1758.499258,1832.830332,1932.4027,1987.110982,2053.188918,2110.76123,2286.73538,2322.213342,2360.619175,2416.282624,2489.220073
United Arab Emirates,ARE,12232.62043,12048.59123,12401.23265,12266.92521,11902.35354,12303.14165,11823.08693,11688.32179,11613.97901,10966.43493,10968.25849,10612.4261,10698.21952,10952.71146,11263.53192
Argentina,ARG,2078.28644,2109.496044,2003.437904,2167.719816,2279.29182,2392.893914,2357.952915,2438.089914,2752.090769,2708.936431,2847.256842,2901.273521,2974.695973,2943.869788,3052.381937
Armenia,ARM,1297.568273,1269.235623,1236.36366,1320.495751,1440.372831,1521.504841,1639.682271,1772.894892,1669.062175,1661.021455,1726.264557,1807.634701,1893.528,1933.983962,1965.783733
Australia,AUS,10193.91218,10636.37769,10813.12273,10434.87439,10554.81582,10458.45019,10490.48454,10972.89174,10749.11055,10791.5931,10726.92818,10627.29387,10403.61702,10213.03945,10059.20745
Austria,AUT,7076.269483,7333.231953,7427.656445,7695.080037,7808.157792,7977.681597,8244.401952,8207.474739,8233.014833,7944.796096,8382.711154,8425.167753,8548.882199,8510.061178,8360.518991
Azerbaijan,AZE,2040.47909,2106.470066,1996.708252,2235.459856,2281.947872,2388.388734,2552.286214,2118.210528,2040.760435,1620.38742,1603.431374,1705.424633,2052.650965,2092.536521,2202.393918
Belgium,BEL,8247.677113,8267.187216,8311.892679,8411.900657,8576.223497,8509.997073,8683.671285,8614.679503,8521.49674,7903.955479,8393.949623,8021.909269,7973.224172,7972.946352,7709.123078
Benin,BEN,58.11285283,61.46904228,68.26224876,64.6228902,70.32254435,73.78894982,75.0891821,79.71811485,86.35244953,87.87320679,95.44246988,91.53558018,93.12211948,96.75693349,100.2263892
Bangladesh,BGD,101.4886293,111.69426,119.2746738,125.4576704,160.2533607,170.6812527,190.9154645,199.8311925,201.2488571,219.2420592,239.8305315,257.6343732,274.8719582,292.7500271,310.3912261
Bulgaria,BGR,3673.606871,3859.090025,3853.819004,3997.902596,3971.822736,4165.180392,4366.912765,4523.322878,4674.503151,4483.747139,4560.414917,4863.691441,4761.912583,4639.706323,4708.927458
Bahrain,BHR,20014.62503,20130.48546,20016.37765,19774.98713,18982.99448,21325.55378,21508.45042,20592.90022,18492.00154,17460.33219,18038.26695,17910.9405,17845.48272,18687.69533,19592.23195
Bosnia and Herzegovina,BIH,2021.925789,2059.775928,2082.998416,2223.4588,2311.382342,2379.460166,2375.731188,2375.463699,2979.063391,2883.444311,3141.519643,3318.635949,3437.859766,3414.147965,3365.67394
Belarus,BLR,2996.309475,3009.402482,3000.745625,3063.056939,3174.053092,3245.372088,3365.981865,3393.908536,3481.743517,3298.703607,3563.637766,3628.45729,3697.397484,3648.32146,3679.97884
Bolivia,BOL,419.808737,420.7676803,434.3984898,441.9766595,452.1763062,482.170169,513.0699811,545.3614934,534.4872397,553.657088,604.3409709,637.4063673,663.3457707,705.4628613,752.6870217
Brazil,BRA,1891.970822,1742.485696,1800.517134,1875.323158,1948.408598,2007.27743,2063.097317,2157.437342,2218.883587,2185.745263,2361.055941,2416.462848,2485.588137,2551.407985,2601.365506
Brunei Darussalam,BRN,7544.089713,7179.882217,7371.701546,8548.653184,8594.721339,8462.090383,8432.140446,8616.458236,8593.230886,8843.792669,8809.711266,8776.360171,9223.310686,9841.859823,10242.7958
Botswana,BWA,1098.742146,1169.274076,1220.818752,1309.620864,1428.391816,1419.833047,1455.760896,1503.854443,1518.225644,1716.768979,1539.556477,1477.083992,1714.437507,2060.599284,1748.615334
Canada,CAN,16990.57839,16807.14499,16959.60079,17191.15419,17235.41178,16912.47834,16508.67863,16683.69014,16378.14227,15450.87955,15269.5726,15642.96775,15320.59425,15719.70823,15545.53511
Central Europe and the Baltics,CEB,3343.03081,3426.25819,3450.190101,3583.732181,3671.985179,3735.009268,3883.794765,3979.838553,4043.958924,3836.001039,4012.710424,4096.894084,4093.459357,4075.34293,4115.630201
