Country,forest_1990,forest_2000,forest_2005,forest_2010,Country Code,power_2000,power_2005,power_2010,pop_2000,pop_2005,pop_2010,Continent
Albania,7890.0,7690,7820,7760.0,ALB,1449.647413,1722.07285,1943.343354,3089027.0,3011487.0,2913021.0,Europe
Algeria,16670.0,15790,15360,14920.0,DZA,680.1959744,886.9145764,1012.690836,31183660.0,33288437.0,36117637.0,Africa
Angola,609760.0,597280,591040,584800.0,AGO,75.05660874,108.63037659999998,206.3405781,16440924.0,19552542.0,23369131.0,Africa
Argentina,347930.0,318610,305990,294000.0,ARG,2078.28644,2392.893914,2847.256842,37057452.0,39145488.0,41223889.0,South America
Armenia,3470.0,3040,2830,2620.0,ARM,1297.568273,1521.504841,1726.264557,3069588.0,2981259.0,2877311.0,Europe
Australia,1545000.0,1549200,1539200,1493000.0,AUS,10193.91218,10458.45019,10726.92818,19153000.0,20394800.0,22031750.0,Oceania
Austria,37760.0,38380,38620,38870.0,AUT,7076.269483,7977.681597,8382.711154,8011566.0,8227829.0,8363404.0,Europe
Azerbaijan,9360.0,9360,9360,9360.0,AZE,2040.47909,2388.388734,1603.431374,8048600.0,8391850.0,9054332.0,Europe
Bahrain,2.0,"4,6","4,8",10.0,BHR,20014.625030000007,21325.55378,18038.26695,664614.0,889168.0,1240862.0,Asia
Bangladesh,14940.0,14680,14550,14420.0,BGD,101.4886293,170.6812527,239.8305315,131581243.0,143431101.0,152149102.0,Asia
Belarus,77800.0,82730,84360,86300.0,BLR,2996.309475,3245.372088,3563.637766,9979610.0,9663915.0,9490583.0,Europe
Belgium,6770.0,6670,6730,6780.0,BEL,8247.677113,8509.997073,8393.949623,10251250.0,10478617.0,10895586.0,Europe
Benin,57610.0,50610,48110,45610.0,BEN,58.11285283,73.78894982,95.44246988,6865951.0,7982225.0,9199259.0,Africa
Bolivia,627950.0,600910,587340,571960.0,BOL,419.808737,482.170169,604.3409709,8339512.0,9125409.0,9918242.0,South America
Bosnia and Herzegovina,22100.0,21850,21850,21850.0,BIH,2021.925789,2379.460166,3141.519643,3766706.0,3781530.0,3722084.0,Europe
Botswana,137180.0,125350,119430,113510.0,BWA,1098.742146,1419.833047,1539.556477,1728340.0,1855852.0,2014866.0,Africa
Brazil,5748390.0,5459430,5304940,5195220.0,BRA,1891.970822,2007.27743,2361.055941,175287587.0,186917361.0,196796269.0,South America
Bulgaria,33270.0,33750,36510,39270.0,BGR,3673.606871,4165.180392,4560.414917,8170172.0,7658972.0,7395599.0,Europe
Cambodia,129440.0,115460,107310,100940.0,KHM,32.75085634,66.76613263,144.3173892,12152354.0,13270201.0,14308740.0,Asia
Cameroon,243160.0,221160,210160,199160.0,CMR,178.0122002,189.7731992,266.3429224,15274234.0,17420795.0,19970495.0,Africa
Canada,3101340.0,3101340,3101340,3101340.0,CAN,16990.578390000002,16912.47834,15269.5726,30769700.0,32312000.0,34005274.0,North America
Chile,152630.0,158340,160430,162310.0,CHL,2512.325102,3102.483523,3320.415734,15262754.0,16147064.0,16993354.0,South America
China,1571410.0,1770000,1930440,2068610.0,CHN,992.9433847,1782.312153,2943.589954,1262645000.0,1303720000.0,1337705000.0,Asia
Colombia,625190.0,615090,610040,604990.0,COL,829.3989416000002,895.8168431,1077.984569,40403958.0,43285634.0,45918097.0,South America
Costa Rica,25640.0,23760,24910,26050.0,CRI,1521.1022039999998,1736.411509,1901.31301,3925443.0,4247841.0,4545280.0,North America
Croatia,18500.0,18850,19030,19200.0,HRV,2855.8517850000007,3475.911751,3813.679311,4426000.0,4442000.0,4417781.0,Europe
Cuba,20580.0,24350,26970,28700.0,CUB,1135.440746,1152.756855,1290.826274,11150736.0,11284253.0,11333051.0,North America
Cyprus,1610.0,1720,1730,1730.0,CYP,3373.314138,4099.612906,4585.626371,943286.0,1027658.0,1112607.0,Europe
Denmark,4450.0,4860,5340,5440.0,DNK,6482.488628,6659.000427,6327.506456,5339616.0,5419432.0,5547683.0,Europe
Ecuador,138170.0,118410,108530,98650.0,ECU,637.521384,799.7680127,1143.780018,12628596.0,13735233.0,14934690.0,South America
El Salvador,3770.0,3320,3090,2870.0,SLV,617.1149968,758.339621,859.743965,5867626.0,6028961.0,6164626.0,North America
Estonia,20900.0,22430,22520,22170.0,EST,4540.492561,5531.545829,6506.3181810000015,1396985.0,1354775.0,1331475.0,Europe
Ethiopia,151140.0,137050,130000,122960.0,ETH,22.64893974,33.36501141,48.26534928,66537331.0,76727083.0,87702670.0,Africa
Finland,218890.0,224590,221570,221570.0,FIN,15305.40981,16117.890330000002,16484.09428,5176209.0,5246096.0,5363352.0,Europe
France,145370.0,153530,157140,159540.0,FRA,7224.526984999998,7652.8643040000015,7734.726783,60912498.0,63179356.0,65027512.0,Europe
Gabon,220000.0,220000,220000,220000.0,GAB,878.0608258,907.9726268,948.0493351,1231122.0,1403126.0,1640210.0,Africa
Georgia,27790.0,27680,27550,27420.0,GEO,1452.8212210000004,1784.9642,1976.821192,4418300.0,4190000.0,3926000.0,Europe
Germany,107410.0,110760,110760,110760.0,DEU,6635.421406,7138.221484999999,7264.322590999999,82211508.0,82469422.0,81776930.0,Europe
Ghana,74480.0,60940,55170,49400.0,GHA,332.0174782,245.8452227,280.5144756,18938762.0,21542009.0,24512104.0,Africa
Greece,32990.0,36010,37520,39030.0,GRC,4586.329870000001,5297.200025,5333.439556,10805808.0,10987314.0,11121341.0,Europe
Guatemala,47480.0,42080,39380,36570.0,GTM,330.4510279,480.68009630000006,541.9531103999999,11650743.0,13096028.0,14630417.0,North America
Haiti,1160.0,1090,1050,1010.0,HTI,35.44191269,37.02742534,24.40093456,8549200.0,9263404.0,9999617.0,North America
Honduras,81360.0,63920,57920,51920.0,HND,492.1613609,580.0556864,627.106677,6524283.0,7373430.0,8194778.0,North America
Hungary,18010.0,19070,19830,20290.0,HUN,3309.283711,3771.364614,3876.491084,10210971.0,10087065.0,10000023.0,Europe
Iceland,90.0,180,250,300.0,ISL,26201.52558,27988.02968,51439.90869,281205.0,296734.0,318041.0,Europe
India,639390.0,653900,677090,684340.0,IND,394.9638097,469.45392310000005,642.1116154,1053050912.0,1144118674.0,1230980691.0,Asia
Indonesia,1185450.0,994090,978570,944320.0,IDN,390.3745511,499.71609450000005,634.1760897999999,211540429.0,226712730.0,242524123.0,Asia
Iraq,8040.0,8180,8250,8250.0,IRQ,1237.406703,833.8508879,1195.993811,23565413.0,27008426.0,30762701.0,Asia
Ireland,4650.0,6350,6950,7390.0,IRL,5796.055581000001,6241.715574,5927.86868,3805174.0,4159914.0,4560155.0,Europe
Israel,1320.0,1530,1550,1540.0,ISR,6323.103832,6572.199535,6953.276667,6289000.0,6930100.0,7623600.0,Asia
Italy,75900.0,83690,87590,91490.0,ITA,5299.856479,5731.101557,5493.711037,56942108.0,57969484.0,59277417.0,Europe
Jamaica,3450.0,3410,3390,3370.0,JAM,2274.486011,2392.999093,1213.257088,2656864.0,2744673.0,2817210.0,North America
Japan,249500.0,248760,249350,249790.0,JPN,8299.409506,8539.010589,8594.909034,126843000.0,127773000.0,128070000.0,Asia
Jordan,980.0,980,980,980.0,JOR,1294.49965,1592.548692,1865.674239,5103130.0,5714111.0,7182390.0,Asia
Kazakhstan,34220.0,33650,33370,33090.0,KAZ,3169.523341,4012.073919,4728.095887,14883626.0,15147029.0,16321581.0,Asia
Kenya,37080.0,35820,35220,34670.0,KEN,106.103299,130.2142282,150.2775613,31450483.0,36048288.0,41350152.0,Africa
Kuwait,30.0,50,60,60.0,KWT,14027.61246,17028.29147,16722.6858,2050741.0,2276623.0,2998083.0,Asia
Latvia,31730.0,32410,32970,33540.0,LVA,2082.321387,2777.38198,3229.951062,2367550.0,2238799.0,2097555.0,Europe
Lebanon,1310.0,1310,1370,1370.0,LBN,2985.442760000001,2810.738899,3478.789368,3235366.0,3986852.0,4337141.0,Asia
Libya,2170.0,2170,2170,2170.0,LBY,2222.6574760000008,3431.39489,3377.29408,5355751.0,5792688.0,6169140.0,Africa
Lithuania,19450.0,20200,21210,21600.0,LTU,2516.905098,3187.03108,3470.78503,3499536.0,3322528.0,3097282.0,Europe
Luxembourg,860.0,870,870,870.0,LUX,15668.11827,15644.14672,16829.96254,436300.0,465158.0,506953.0,Europe
Malaysia,223760.0,215910,208900,204560.0,MYS,2748.08407,2877.230962,4159.639935,23185608.0,25659393.0,28112289.0,Asia
Malta,3.0,3,3,,MLT,4311.858636999998,4912.909760000001,4767.097378,390087.0,403834.0,414508.0,Europe
Mauritius,390.0,390,350,350.0,MUS,1363.24611,1683.690833,1995.361484,1186873.0,1228254.0,1250400.0,Africa
Mexico,702910.0,667510,655780,648020.0,MEX,1750.556158,1950.98786,1963.314688,101719673.0,108472228.0,117318941.0,North America
Moldova,3190.0,3240,3630,3860.0,MDA,1638.095699,2047.737712,1722.886713,3639592.0,3595187.0,3562045.0,Europe
Mongolia,125360.0,117170,113080,108980.0,MNG,1053.625623,1251.9563050000004,1492.636352,2397436.0,2526446.0,2712650.0,Asia
Montenegro,5430.0,5430,5430,5430.0,MNE,,6314.905228000001,5419.5160700000015,604950.0,614261.0,619428.0,Europe
Morocco,50490.0,50170,50810,51310.0,MAR,489.0878809,633.1036232000001,774.3683907999998,28849621.0,30521070.0,32409639.0,Africa
Mozambique,433780.0,411880,400790,390220.0,MOZ,123.14802659999998,441.7611756,440.3955922,18067687.0,20923070.0,24221405.0,Africa
Namibia,87620.0,80320,76610,72900.0,NAM,994.0729454,1451.139555,1546.588624,1899257.0,2032196.0,2173170.0,Africa
Nepal,48170.0,39000,36360,36360.0,NPL,59.30690697,77.37822903,102.5047536,23740911.0,25640287.0,27023137.0,Asia
Netherlands,3450.0,3600,3650,3650.0,NLD,6507.105925,6912.372084999999,7006.273821,15925513.0,16319868.0,16615394.0,Europe
New Zealand,77200.0,82660,83110,82690.0,NZL,9384.348187,9673.673771,9601.903142,3857700.0,4133900.0,4350700.0,Oceania
Nicaragua,45140.0,38140,34640,31140.0,NIC,347.736411,416.9665802,514.1412369,5026796.0,5379328.0,5737723.0,North America
Niger,19450.0,13280,12660,12040.0,NER,32.67866487,36.7149005,44.32111917,11352973.0,13618449.0,16425578.0,Africa
Nigeria,172340.0,131370,110890,90410.0,NGA,74.4491249,129.25771899999998,136.3616921,122352009.0,138939478.0,158578261.0,Africa
Norway,91300.0,93010,96830,100650.0,NOR,24993.7263,25083.21453,24890.92401,4490967.0,4623291.0,4889252.0,Europe
Oman,20.0,20,20,20.0,OMN,3201.952741,3923.912572,5521.032662,2267991.0,2511269.0,3041460.0,Asia
Pakistan,25270.0,21160,19020,16870.0,PAK,372.399485,463.0573335,465.1613235,138523285.0,153909667.0,170560182.0,Asia
Panama,37920.0,33690,33100,32510.0,PAN,1266.521623,1455.0520720000004,1744.884061,3030347.0,3330465.0,3643222.0,North America
Paraguay,211570.0,193680,184750,175820.0,PRY,887.4724197,863.7745117000002,1178.606275,5302700.0,5795494.0,6209877.0,South America
Peru,701560.0,692130,687420,679920.0,PER,680.1883968,837.2928906000002,1094.3142710000004,25914879.0,27610410.0,29373646.0,South America
Philippines,65700.0,71170,73910,76650.0,PHL,499.34884630000005,576.6495507000002,639.540799,77991569.0,86274237.0,93726624.0,Asia
Poland,88810.0,90590,92000,93370.0,POL,3256.180455,3437.323998,3797.092296,38258629.0,38165445.0,38042794.0,Europe
Portugal,33270.0,34200,34370,34560.0,PRT,3988.960824,4682.991013,4959.094305,10289898.0,10503330.0,10573100.0,Europe
Qatar,0.0,0,0,0.0,QAT,14353.32375,15467.1896,14821.237119999998,592267.0,864863.0,1779676.0,Asia
