Country Code,pop_2000,pop_2005,pop_2010
ABW,90853.0,100031.0,101669.0
AFG,20093756.0,25070798.0,28803167.0
AGO,16440924.0,19552542.0,23369131.0
ALB,3089027.0,3011487.0,2913021.0
AND,65390.0,78867.0,84449.0
ARB,283832016.0,316264728.0,356508908.0
ARE,3154925.0,4579562.0,8270684.0
ARG,37057452.0,39145488.0,41223889.0
ARM,3069588.0,2981259.0,2877311.0
ASM,57521.0,59118.0,55637.0
ATG,83584.0,89253.0,94661.0
AUS,19153000.0,20394800.0,22031750.0
AUT,8011566.0,8227829.0,8363404.0
AZE,8048600.0,8391850.0,9054332.0
BDI,6400706.0,7423289.0,8766930.0
BEL,10251250.0,10478617.0,10895586.0
BEN,6865951.0,7982225.0,9199259.0
BFA,11607942.0,13421930.0,15605217.0
BGD,131581243.0,143431101.0,152149102.0
BGR,8170172.0,7658972.0,7395599.0
BHR,664614.0,889168.0,1240862.0
BHS,297890.0,329249.0,360832.0
BIH,3766706.0,3781530.0,3722084.0
BLR,9979610.0,9663915.0,9490583.0
BLZ,247315.0,283277.0,321608.0
BMU,61833.0,64154.0,65124.0
BOL,8339512.0,9125409.0,9918242.0
BRA,175287587.0,186917361.0,196796269.0
BRB,269847.0,274009.0,279569.0
BRN,333241.0,365158.0,388662.0
BTN,573416.0,656639.0,727641.0
BWA,1728340.0,1855852.0,2014866.0
CAF,3754986.0,4127910.0,4448525.0
CAN,30769700.0,32312000.0,34005274.0
CEB,108405522.0,106173766.0,104543801.0
CHE,7184250.0,7437115.0,7824909.0
CHI,148725.0,154294.0,159581.0
CHL,15262754.0,16147064.0,16993354.0
CHN,1262645000.0,1303720000.0,1337705000.0
CIV,16686561.0,18336303.0,20401331.0
CMR,15274234.0,17420795.0,19970495.0
COD,47076387.0,54751476.0,64523263.0
COG,3225727.0,3718243.0,4386693.0
COL,40403958.0,43285634.0,45918097.0
COM,542357.0,611627.0,689692.0
CPV,435079.0,474567.0,502384.0
CRI,3925443.0,4247841.0,4545280.0
CSS,6530691.0,6761932.0,6984096.0
CUB,11150736.0,11284253.0,11333051.0
CUW,133860.0,137658.0,148703.0
CYM,41687.0,48622.0,55507.0
CYP,943286.0,1027658.0,1112607.0
CZE,10255063.0,10211216.0,10474410.0
DEU,82211508.0,82469422.0,81776930.0
DJI,717584.0,783254.0,851146.0
DMA,69676.0,70627.0,71440.0
DNK,5339616.0,5419432.0,5547683.0
